05;7;62;032;S0025;0;An den Emmerkämpen
05;7;62;032;S0025;0;An den Emmerkämpen
05;7;62;032;S0025;0;An den Emmerkämpen
05;7;62;032;S0025;0;An den Emmerkämpen
05;7;62;032;S0025;0;An den Emmerkämpen
05;7;62;032;S0025;0;An den Emmerkämpen
05;7;62;032;S0026;0;An der Dornenkuhle
05;7;62;032;S0026;0;An der Dornenkuhle
05;7;62;032;S0026;0;An der Dornenkuhle
05;7;62;032;S0026;0;An der Dornenkuhle
05;7;62;032;S0026;0;An der Dornenkuhle
05;7;62;032;S0026;0;An der Dornenkuhle
05;7;62;032;S0026;0;An der Dornenkuhle
05;7;62;032;S0026;0;An der Dornenkuhle
05;7;62;032;S0026;0;An der Dornenkuhle
05;7;62;032;S0026;0;An der Dornenkuhle
05;7;62;032;S0026;0;An der Dornenkuhle
05;7;62;032;S0026;0;An der Dornenkuhle
05;7;62;032;S0274;0;An der Fillerkuhle
05;7;62;032;S0274;0;An der Fillerkuhle
05;7;62;032;S0274;0;An der Fillerkuhle
05;7;62;032;S0274;0;An der Fillerkuhle
05;7;62;032;S0274;0;An der Fillerkuhle
05;7;62;032;S0274;0;An der Fillerkuhle
05;7;62;032;S0274;0;An der Fillerkuhle
05;7;62;032;S0274;0;An der Fillerkuhle
05;7;62;032;S0027;0;An der Lehmkuhle
05;7;62;032;S0027;0;An der Lehmkuhle
05;7;62;032;S0027;0;An der Lehmkuhle
05;7;62;032;S0027;0;An der Lehmkuhle
05;7;62;032;S0027;0;An der Lehmkuhle
05;7;62;032;S0027;0;An der Lehmkuhle
05;7;62;032;S0027;0;An der Lehmkuhle
05;7;62;032;S0027;0;An der Lehmkuhle
05;7;62;032;S0027;0;An der Lehmkuhle
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0028;0;An der Uhlenmersch
05;7;62;032;S0301;0;Angerbusch
05;7;62;032;S0301;0;Angerbusch
05;7;62;032;S0301;0;Angerbusch
05;7;62;032;S0301;0;Angerbusch
05;7;62;032;S0301;0;Angerbusch
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
05;7;62;032;S0275;0;Annette-v.-Droste-Hülshoff-Str
